Julius Hoffman,95,92,79,90,90
Dianne Conner,100,100,80,90,85
Mitchell Cooper,100,95,89,85,95
Johnnie Greene,80,76,70,70,70
Johanna Mason,75,74,70,75,65
Kelvin Adkins,85,85,90,80,85
Brandi Spencer,60,60,54,70,57
Marian Tyler,60,60,60,75,60
Chester Cross,65,65,59,70,60
Martin Lawrence,50,60,52,55,53
Jane Smith,50,45,40,50,50
Sara Jones,45,35,30,50,35
Aaren Lilybel,25,22,43,43,48
Aarika Lilybelle,41,98,53,86,55
Abagael Lim,55,36,90,29,93
Abagail Liman,55,29,23,28,35
Abbe Limann,30,73,35,56,98
Abbey Limber,87,58,81,83,65
Abbi Limbert,25,93,66,73,32
Abbie Limemann,71,22,25,71,64
Abby Limoli,23,85,50,100,85
Abbye Lin,64,46,53,88,76
Abigael Lina,44,23,50,63,21
Abigail Linc,62,80,53,74,62
Abigale Lincoln,47,20,69,81,69
Abra Lind,32,26,70,33,89
Ada Linda,79,31,42,27,24
Adah Lindahl,85,82,82,93,63
Adaline Lindberg,75,33,21,89,67
Adan Lindblad,95,82,21,79,53
Adara Lindbom,20,43,58,66,99
Adda Lindeberg,30,71,87,53,45
Addi Lindell,27,74,92,58,38
Addia Lindemann,98,52,51,39,38
Addie Linden,39,86,83,78,78
Addy Linder,42,70,90,44,71
Adel Linders,33,77,63,71,31
Adela Lindgren,74,92,84,42,76
Adelaida Lindholm,47,94,94,72,100
Adelaide Lindi,63,22,39,76,92
Adele Lindie,94,28,84,27,52
Adelheid Lindley,81,86,93,40,29
Adelice Lindly,52,27,52,23,64
Adelina Lindner,69,31,93,80,91
Adelind Lindo,59,74,39,46,81
Adeline Lindon,39,37,37,91,86
Adella Lindsay,41,67,33,58,59
Adelle Lindsey,85,53,85,95,89
Adena Lindsley,65,76,96,65,53
Adey Lindsy,48,59,94,43,83
Adi Lindy,62,35,82,58,95
Adiana Line,68,25,78,20,88
Adina Linea,95,26,46,91,95
Adora Linehan,97,62,27,44,23
Adore Linell,43,23,41,40,88
Adoree Linet,66,83,25,95,21
Adorne Linetta,46,92,72,49,30
Adrea Linette,42,42,71,51,23
Adria Ling,24,60,84,29,24
Adriaens Lingwood,74,76,63,42,29
Adrian Linis,86,58,52,20,64
Adriana Link,77,44,74,76,24
Adriane Linker,93,34,49,77,48
Adrianna Linkoski,39,41,32,74,80
Adrianne Linn,65,73,95,52,55
Adriena Linnea,70,73,23,86,30
Adrienne Linnell,77,20,20,53,52
Aeriel Linneman,84,87,66,42,20
Aeriela Linnet,47,77,100,26,36
Aeriell Linnette,95,76,90,59,46
Afton Linnie,76,70,61,78,81
Ag Linoel,49,99,74,76,54
Agace Linsk,46,36,86,33,84
Agata Linskey,34,60,29,69,82
Agatha Linson,56,55,90,77,59
Agathe Linus,33,89,93,99,42
Aggi Linzer,88,37,55,59,56
Aggie Linzy,20,92,91,61,48
Aggy Lion,36,22,90,73,79
Agna Lionel,25,52,95,90,82
Agnella Lionello,89,50,39,91,48
Agnes Lipcombe,70,72,66,29,94
Agnese Lipfert,41,59,77,91,100
Agnesse Lipinski,26,48,43,27,52
Agneta Lipkin,32,60,98,76,72
Agnola Lipman,61,55,25,99,77
Agretha Liponis,92,36,21,63,84
Aida Lipp,84,71,47,100,80
Aidan Lippold,20,58,20,52,64
Aigneis Lipps,31,54,72,28,89
Aila Lipscomb,49,25,92,24,69
Aile Lipsey,20,49,51,20,59
Ailee Lipski,100,29,74,46,46
Aileen Lipson,97,74,28,63,90
Ailene Lira,67,99,59,22,57
Ailey Liris,88,86,52,67,47
Aili Lisa,47,29,53,49,88
Ailina Lisabet,57,37,75,57,86
Ailis Lisabeth,88,86,60,100,38
Loris Lorita,88,48,85,83,79
